Rank,Model,Score,Size,Context,Cost,License
1,GPT-5.2 ProOpenAI,0.932,—,400K,$21.00$168.00,
2,GPT-5.2OpenAI,0.924,—,400K,$1.75$14.00,
3,Gemini 3 ProGoogle,0.919,—,1.0M,$2.00$12.00,
4,Gemini 3 FlashGoogle,0.904,—,1.0M,$0.50$3.00,
5,Grok-4 HeavyxAI,0.884,—,—,—,
6,GPT-5.1OpenAI,0.881,—,400K,$1.25$10.00,
6,GPT-5.1 InstantOpenAI,0.881,—,400K,$1.25$10.00,
6,GPT-5.1 ThinkingOpenAI,0.881,—,400K,$1.25$10.00,
9,Grok-4xAI,0.875,—,256K,$3.00$15.00,
10,Claude Opus 4.5Anthropic,0.87,—,200K,$5.00$25.00,
11,Gemini 2.5 Pro Preview 06-05Google,0.864,—,1.0M,$1.25$10.00,
12,GPT-5OpenAI,0.857,—,400K,$1.25$10.00,
12,GLM-4.7NewZhipu AI,0.857,358B,205K,$0.60$2.20,
12,Grok 4 FastxAI,0.857,—,2.0M,$0.20$0.50,
15,Claude 3.7 SonnetAnthropic,0.848,—,200K,$3.00$15.00,
16,Grok-3xAI,0.846,—,128K,$3.00$15.00,
17,Kimi K2-Thinking-0905Moonshot AI,0.845,1.0T,262K,$0.47$2.00,
18,Grok-3 MinixAI,0.84,—,128K,$0.30$0.50,
19,MiMo-V2-FlashXiaomi,0.837,309B,256K,$0.10$0.30,
20,Claude Sonnet 4.5Anthropic,0.834,—,200K,$3.00$15.00,
21,o3OpenAI,0.833,—,200K,$2.00$8.00,
22,Gemini 2.5 ProGoogle,0.83,—,1.0M,$1.25$10.00,
23,Gemini 2.5 FlashGoogle,0.828,—,1.0M,$0.30$2.50,
24,DeepSeek-V3.2 (Thinking)DeepSeek,0.824,685B,131K,$0.28$0.42,
25,GPT-5 miniOpenAI,0.823,—,400K,$0.25$2.00,
26,o4-miniOpenAI,0.814,—,200K,$1.10$4.40,
27,Qwen3-235B-A22B-Thinking-2507Alibaba Cloud / Qwen Team,0.811,235B,262K,$0.30$3.00,
28,GLM-4.6Zhipu AI,0.81,357B,131K,$0.55$2.19,
28,DeepSeek-R1-0528DeepSeek,0.81,671B,131K,$0.50$2.15,
28,MiniMax M2.1NewMiniMax,0.81,—,1.0M,$0.30$1.20,
31,Claude Opus 4.1Anthropic,0.809,—,200K,$15.00$75.00,
32,GPT OSS 120BOpenAI,0.801,117B,131K,$0.09$0.45,
33,DeepSeek-V3.2-ExpDeepSeek,0.799,685B,164K,$0.27$0.41,
34,Claude Opus 4Anthropic,0.796,—,200K,$15.00$75.00,
35,GLM-4.5Zhipu AI,0.791,355B,131K,$0.40$1.60,
36,o1-proOpenAI,0.79,—,—,—,
37,o1OpenAI,0.78,—,200K,$15.00$60.00,
37,MiniMax M2MiniMax,0.78,230B,1.0M,$0.30$1.20,
39,Qwen3-235B-A22B-Instruct-2507Alibaba Cloud / Qwen Team,0.775,235B,262K,$0.15$0.80,
40,o3-miniOpenAI,0.772,—,200K,$1.10$4.40,
40,Qwen3-Next-80B-A3B-ThinkingAlibaba Cloud / Qwen Team,0.772,80B,66K,$0.15$1.50,
42,Llama 3.1 Nemotron Ultra 253B v1NVIDIA,0.76,253B,—,—,
43,Kimi K2 0905Moonshot AI,0.758,1.0T,262K,$0.60$2.50,
44,Claude Sonnet 4Anthropic,0.754,—,200K,$3.00$15.00,
45,Kimi K2 InstructMoonshot AI,0.751,1.0T,200K,$0.50$0.50,
45,Kimi K2-Instruct-0905Moonshot AI,0.751,1.0T,—,—,
47,Nemotron 3 Nano (30B A3B)NVIDIA,0.75,32B,262K,$0.06$0.24,
47,GLM-4.5-AirZhipu AI,0.75,106B,—,—,
49,DeepSeek-V3.1DeepSeek,0.749,671B,164K,$0.27$1.00,
50,Qwen3 VL 30B A3B ThinkingAlibaba Cloud / Qwen Team,0.744,31B,262K,$0.20$1.00,
