Rank,Model,Score,Size,Context,Cost,License
1,Claude Opus 4.5Anthropic,0.809,—,200K,$5.00$25.00,
2,GPT-5.2OpenAI,0.8,—,400K,$1.75$14.00,
3,Gemini 3 FlashGoogle,0.78,—,1.0M,$0.50$3.00,
4,GPT-5.1OpenAI,0.763,—,400K,$1.25$10.00,
4,GPT-5.1 InstantOpenAI,0.763,—,400K,$1.25$10.00,
4,GPT-5.1 ThinkingOpenAI,0.763,—,400K,$1.25$10.00,
7,Gemini 3 ProGoogle,0.762,—,1.0M,$2.00$12.00,
8,GPT-5OpenAI,0.749,—,400K,$1.25$10.00,
9,GPT-5 CodexOpenAI,0.745,—,—,—,
9,Claude Opus 4.1Anthropic,0.745,—,200K,$15.00$75.00,
11,GLM-4.7NewZhipu AI,0.738,358B,205K,$0.60$2.20,
12,GPT-5.1 CodexOpenAI,0.737,—,400K,$1.25$10.00,
13,MiMo-V2-FlashXiaomi,0.734,309B,256K,$0.10$0.30,
14,Claude Haiku 4.5Anthropic,0.733,—,200K,$1.00$5.00,
15,DeepSeek-V3.2-SpecialeDeepSeek,0.731,685B,131K,$0.28$0.42,
15,DeepSeek-V3.2 (Thinking)DeepSeek,0.731,685B,131K,$0.28$0.42,
17,Claude Sonnet 4Anthropic,0.727,—,200K,$3.00$15.00,
18,Claude Opus 4Anthropic,0.725,—,200K,$15.00$75.00,
19,Kimi K2-Thinking-0905Moonshot AI,0.713,1.0T,262K,$0.47$2.00,
20,Grok Code Fast 1xAI,0.708,—,256K,$0.20$1.50,
21,Claude 3.7 SonnetAnthropic,0.703,—,200K,$3.00$15.00,
22,Qwen3-Coder 480B A35B InstructAlibaba Cloud / Qwen Team,0.696,480B,262K,$0.10$0.10,
23,MiniMax M2MiniMax,0.694,230B,1.0M,$0.30$1.20,
24,o3OpenAI,0.691,—,200K,$2.00$8.00,
25,o4-miniOpenAI,0.681,—,200K,$1.10$4.40,
26,GLM-4.6Zhipu AI,0.68,357B,131K,$0.55$2.19,
27,DeepSeek-V3.2-ExpDeepSeek,0.678,685B,164K,$0.27$0.41,
28,Gemini 2.5 Pro Preview 06-05Google,0.672,—,1.0M,$1.25$10.00,
29,MiniMax M2.1NewMiniMax,0.67,—,1.0M,$0.30$1.20,
30,DeepSeek-V3.1DeepSeek,0.66,671B,164K,$0.27$1.00,
31,Kimi K2-Instruct-0905Moonshot AI,0.658,1.0T,—,—,
32,GLM-4.5Zhipu AI,0.642,355B,131K,$0.40$1.60,
33,Gemini 2.5 ProGoogle,0.632,—,1.0M,$1.25$10.00,
34,Devstral MediumMistral AI,0.616,—,128K,$0.40$2.00,
35,Gemini 2.5 FlashGoogle,0.604,—,1.0M,$0.30$2.50,
36,GLM-4.5-AirZhipu AI,0.576,106B,—,—,
37,MiniMax M1 80KMiniMax,0.56,456B,1.0M,$0.55$2.20,
38,MiniMax M1 40KMiniMax,0.556,456B,—,—,
39,GPT-4.1OpenAI,0.546,—,1.0M,$2.00$8.00,
40,Devstral Small 1.1Mistral AI,0.536,24B,128K,$0.10$0.30,
41,o3-miniOpenAI,0.493,—,200K,$1.10$4.40,
42,Claude 3.5 SonnetAnthropic,0.49,—,200K,$3.00$15.00,
43,DeepSeek-R1-0528DeepSeek,0.446,671B,131K,$0.50$2.15,
44,DeepSeek-V3DeepSeek,0.42,671B,131K,$0.27$1.10,
45,o1-previewOpenAI,0.413,—,128K,$15.00$60.00,
46,o1OpenAI,0.41,—,200K,$15.00$60.00,
47,Claude 3.5 HaikuAnthropic,0.406,—,200K,$0.80$4.00,
48,Nemotron 3 Nano (30B A3B)NVIDIA,0.388,32B,262K,$0.06$0.24,
49,GPT-4.5OpenAI,0.38,—,128K,$75.00$150.00,
50,GPT-4oOpenAI,0.332,—,128K,$2.50$10.00,
